switch totalused egressOccupancyLossless egressOccupancyLossy ingressPoolOccupancy headroomOccupancy sharedPoolOccupancy time
15 0 0 0 0 0 0 1.0001
0 0 0 0 0 0 0 1.00013
1 0 0 0 0 0 0 1.00013
2 0 0 0 0 0 0 1.00013
3 0 0 0 0 0 0 1.00013
4 0 0 0 0 0 0 1.00013
5 0 0 0 0 0 0 1.00013
6 0 0 0 0 0 0 1.00013
7 0 0 0 0 0 0 1.00013
8 0 0 0 0 0 0 1.00013
9 0 0 0 0 0 0 1.00013
10 0 0 0 0 0 0 1.00013
11 0 0 0 0 0 0 1.00013
12 0 0 0 0 0 0 1.00013
13 0 0 0 0 0 0 1.00013
14 0 0 0 0 0 0 1.00013
15 0 0 0 0 0 0 1.00013
0 0 0 0 0 0 0 1.00016
1 0 0 0 0 0 0 1.00016
2 0 0 0 0 0 0 1.00016
3 0 0 0 0 0 0 1.00016
4 0 0 0 0 0 0 1.00016
5 0 0 0 0 0 0 1.00016
6 0 0 0 0 0 0 1.00016
7 0 0 0 0 0 0 1.00016
8 0 0 0 0 0 0 1.00016
9 0 0 0 0 0 0 1.00016
10 0 0 0 0 0 0 1.00016
11 0 0 0 0 0 0 1.00016
12 0 0 0 0 0 0 1.00016
13 0 0 0 0 0 0 1.00016
14 0 0 0 0 0 0 1.00016
15 0 0 0 0 0 0 1.00016
0 0 0 0 0 0 0 1.00018
1 0 0 0 0 0 0 1.00018
2 0 0 0 0 0 0 1.00018
3 0 0 0 0 0 0 1.00018
4 0 0 0 0 0 0 1.00018
5 0 0 0 0 0 0 1.00018
6 0 0 0 0 0 0 1.00018
7 0 0 0 0 0 0 1.00018
8 0 0 0 0 0 0 1.00018
9 0 0 0 0 0 0 1.00018
10 0 0 0 0 0 0 1.00018
11 0 0 0 0 0 0 1.00018
12 0 0 0 0 0 0 1.00018
13 0 0 0 0 0 0 1.00018
14 0 0 0 0 0 0 1.00018
15 0 0 0 0 0 0 1.00018
0 0 0 0 0 0 0 1.00021
1 0 0 0 0 0 0 1.00021
2 0 0 0 0 0 0 1.00021
3 0 0 0 0 0 0 1.00021
4 0 0 0 0 0 0 1.00021
5 0 0 0 0 0 0 1.00021
6 0 0 0 0 0 0 1.00021
7 0 0 0 0 0 0 1.00021
8 0 0 0 0 0 0 1.00021
9 0 0 0 0 0 0 1.00021
10 0 0 0 0 0 0 1.00021
11 0 0 0 0 0 0 1.00021
12 0 0 0 0 0 0 1.00021
13 0 0 0 0 0 0 1.00021
14 0 0 0 0 0 0 1.00021
15 0 0 0 0 0 0 1.00021
0 0 0 0 0 0 0 1.00023
1 0 0 0 0 0 0 1.00023
2 0 0 0 0 0 0 1.00023
3 0 0 0 0 0 0 1.00023
4 0 0 0 0 0 0 1.00023
5 0 0 0 0 0 0 1.00023
6 0 0 0 0 0 0 1.00023
7 0 0 0 0 0 0 1.00023
8 0 0 0 0 0 0 1.00023
9 0 0 0 0 0 0 1.00023
10 0 0 0 0 0 0 1.00023
11 0 0 0 0 0 0 1.00023
12 0 0 0 0 0 0 1.00023
13 0 0 0 0 0 0 1.00023
14 0 0 0 0 0 0 1.00023
15 0 0 0 0 0 0 1.00023
0 0 0 0 0 0 0 1.00026
1 0 0 0 0 0 0 1.00026
2 0 0 0 0 0 0 1.00026
3 0 0 0 0 0 0 1.00026
4 0 0 0 0 0 0 1.00026
5 0 0 0 0 0 0 1.00026
6 0 0 0 0 0 0 1.00026
7 0 0 0 0 0 0 1.00026
8 0 0 0 0 0 0 1.00026
9 0 0 0 0 0 0 1.00026
10 0 0 0 0 0 0 1.00026
11 0 0 0 0 0 0 1.00026
12 0 0 0 0 0 0 1.00026
13 0 0 0 0 0 0 1.00026
14 0 0 0 0 0 0 1.00026
15 0 0 0 0 0 0 1.00026
0 0 0 0 0 0 0 1.00029
1 0 0 0 0 0 0 1.00029
2 0 0 0 0 0 0 1.00029
3 0 0 0 0 0 0 1.00029
4 0 0 0 0 0 0 1.00029
5 0 0 0 0 0 0 1.00029
6 0 0 0 0 0 0 1.00029
7 0 0 0 0 0 0 1.00029
8 0 0 0 0 0 0 1.00029
9 0 0 0 0 0 0 1.00029
10 0 0 0 0 0 0 1.00029
11 0 0 0 0 0 0 1.00029
12 0 0 0 0 0 0 1.00029
13 0 0 0 0 0 0 1.00029
14 0 0 0 0 0 0 1.00029
15 0 0 0 0 0 0 1.00029
0 0 0 0 0 0 0 1.00031
1 0 0 0 0 0 0 1.00031
2 0 0 0 0 0 0 1.00031
3 0 0 0 0 0 0 1.00031
4 0 0 0 0 0 0 1.00031
5 0 0 0 0 0 0 1.00031
6 0 0 0 0 0 0 1.00031
7 0 0 0 0 0 0 1.00031
8 0 0 0 0 0 0 1.00031
9 0 0 0 0 0 0 1.00031
10 0 0 0 0 0 0 1.00031
11 0 0 0 0 0 0 1.00031
12 0 0 0 0 0 0 1.00031
13 0 0 0 0 0 0 1.00031
14 0 0 0 0 0 0 1.00031
15 0 0 0 0 0 0 1.00031
0 0 0 0 0 0 0 1.00034
1 0 0 0 0 0 0 1.00034
2 0 0 0 0 0 0 1.00034
3 0 0 0 0 0 0 1.00034
4 0 0 0 0 0 0 1.00034
5 0 0 0 0 0 0 1.00034
6 0 0 0 0 0 0 1.00034
7 0 0 0 0 0 0 1.00034
8 0 0 0 0 0 0 1.00034
9 0 0 0 0 0 0 1.00034
10 0 0 0 0 0 0 1.00034
11 0 0 0 0 0 0 1.00034
12 0 0 0 0 0 0 1.00034
13 0 0 0 0 0 0 1.00034
14 0 0 0 0 0 0 1.00034
15 0 0 0 0 0 0 1.00034
0 0 0 0 0 0 0 1.00036
1 0 0 0 0 0 0 1.00036
2 0 0 0 0 0 0 1.00036
3 0 0 0 0 0 0 1.00036
4 0 0 0 0 0 0 1.00036
5 0 0 0 0 0 0 1.00036
6 0 0 0 0 0 0 1.00036
7 0 0 0 0 0 0 1.00036
8 0 0 0 0 0 0 1.00036
9 0 0 0 0 0 0 1.00036
10 0 0 0 0 0 0 1.00036
11 0 0 0 0 0 0 1.00036
12 0 0 0 0 0 0 1.00036
13 0 0 0 0 0 0 1.00036
14 0 0 0 0 0 0 1.00036
15 0 0 0 0 0 0 1.00036
0 0 0 0 0 0 0 1.00039
1 0 0 0 0 0 0 1.00039
2 0 0 0 0 0 0 1.00039
3 0 0 0 0 0 0 1.00039
4 0 0 0 0 0 0 1.00039
5 0 0 0 0 0 0 1.00039
6 0 0 0 0 0 0 1.00039
7 0 0 0 0 0 0 1.00039
8 0 0 0 0 0 0 1.00039
9 0 0 0 0 0 0 1.00039
10 0 0 0 0 0 0 1.00039
11 0 0 0 0 0 0 1.00039
12 0 0 0 0 0 0 1.00039
13 0 0 0 0 0 0 1.00039
14 0 0 0 0 0 0 1.00039
15 0 0 0 0 0 0 1.00039
0 0 0 0 0 0 0 1.00041
1 0 0 0 0 0 0 1.00041
2 0 0 0 0 0 0 1.00041
3 0 0 0 0 0 0 1.00041
4 0 0 0 0 0 0 1.00041
5 0 0 0 0 0 0 1.00041
6 0 0 0 0 0 0 1.00041
7 0 0 0 0 0 0 1.00041
8 0 0 0 0 0 0 1.00041
9 0 0 0 0 0 0 1.00041
10 0 0 0 0 0 0 1.00041
11 0 0 0 0 0 0 1.00041
12 0 0 0 0 0 0 1.00041
13 0 0 0 0 0 0 1.00041
14 0 0 0 0 0 0 1.00041
15 0 0 0 0 0 0 1.00041
0 0 0 0 0 0 0 1.00044
1 0 0 0 0 0 0 1.00044
2 0 0 0 0 0 0 1.00044
3 0 0 0 0 0 0 1.00044
4 0 0 0 0 0 0 1.00044
5 0 0 0 0 0 0 1.00044
6 0 0 0 0 0 0 1.00044
7 0 0 0 0 0 0 1.00044
8 0 0 0 0 0 0 1.00044
9 0 0 0 0 0 0 1.00044
10 0 0 0 0 0 0 1.00044
11 0 0 0 0 0 0 1.00044
12 0 0 0 0 0 0 1.00044
13 0 0 0 0 0 0 1.00044
14 0 0 0 0 0 0 1.00044
15 0 0 0 0 0 0 1.00044
0 0 0 0 0 0 0 1.00047
1 0 0 0 0 0 0 1.00047
2 0 0 0 0 0 0 1.00047
3 0 0 0 0 0 0 1.00047
4 0 0 0 0 0 0 1.00047
5 0 0 0 0 0 0 1.00047
6 0 0 0 0 0 0 1.00047
7 0 0 0 0 0 0 1.00047
8 0 0 0 0 0 0 1.00047
9 0 0 0 0 0 0 1.00047
10 0 0 0 0 0 0 1.00047
11 0 0 0 0 0 0 1.00047
12 0 0 0 0 0 0 1.00047
13 0 0 0 0 0 0 1.00047
14 0 0 0 0 0 0 1.00047
15 0 0 0 0 0 0 1.00047
0 0 0 0 0 0 0 1.00049
1 0 0 0 0 0 0 1.00049
2 0 0 0 0 0 0 1.00049
3 0 0 0 0 0 0 1.00049
4 0 0 0 0 0 0 1.00049
5 0 0 0 0 0 0 1.00049
6 0 0 0 0 0 0 1.00049
7 0 0 0 0 0 0 1.00049
8 0 0 0 0 0 0 1.00049
9 0 0 0 0 0 0 1.00049
10 0 0 0 0 0 0 1.00049
11 0 0 0 0 0 0 1.00049
12 0 0 0 0 0 0 1.00049
13 0 0 0 0 0 0 1.00049
14 0 0 0 0 0 0 1.00049
15 0 0 0 0 0 0 1.00049
0 0 0 0 0 0 0 1.00052
1 0 0 0 0 0 0 1.00052
2 0 0 0 0 0 0 1.00052
3 0 0 0 0 0 0 1.00052
4 0 0 0 0 0 0 1.00052
5 0 0 0 0 0 0 1.00052
6 0 0 0 0 0 0 1.00052
7 0 0 0 0 0 0 1.00052
8 0 0 0 0 0 0 1.00052
9 0 0 0 0 0 0 1.00052
10 0 0 0 0 0 0 1.00052
11 0 0 0 0 0 0 1.00052
12 0 0 0 0 0 0 1.00052
13 0 0 0 0 0 0 1.00052
14 0 0 0 0 0 0 1.00052
15 0 0 0 0 0 0 1.00052
0 0 0 0 0 0 0 1.00054
1 0 0 0 0 0 0 1.00054
2 0 0 0 0 0 0 1.00054
3 0 0 0 0 0 0 1.00054
4 0 0 0 0 0 0 1.00054
5 0 0 0 0 0 0 1.00054
6 0 0 0 0 0 0 1.00054
7 0 0 0 0 0 0 1.00054
8 0 0 0 0 0 0 1.00054
9 0 0 0 0 0 0 1.00054
10 0 0 0 0 0 0 1.00054
11 0 0 0 0 0 0 1.00054
12 0 0 0 0 0 0 1.00054
13 0 0 0 0 0 0 1.00054
14 0 0 0 0 0 0 1.00054
15 0 0 0 0 0 0 1.00054
0 0 0 0 0 0 0 1.00057
1 0 0 0 0 0 0 1.00057
2 0 0 0 0 0 0 1.00057
3 0 0 0 0 0 0 1.00057
4 0 0 0 0 0 0 1.00057
5 0 0 0 0 0 0 1.00057
6 0 0 0 0 0 0 1.00057
7 0 0 0 0 0 0 1.00057
8 0 0 0 0 0 0 1.00057
9 0 0 0 0 0 0 1.00057
10 0 0 0 0 0 0 1.00057
11 0 0 0 0 0 0 1.00057
12 0 0 0 0 0 0 1.00057
13 0 0 0 0 0 0 1.00057
14 0 0 0 0 0 0 1.00057
15 0 0 0 0 0 0 1.00057
0 0 0 0 0 0 0 1.0006
1 0 0 0 0 0 0 1.0006
2 0 0 0 0 0 0 1.0006
3 0 0 0 0 0 0 1.0006
4 0 0 0 0 0 0 1.0006
5 0 0 0 0 0 0 1.0006
6 0 0 0 0 0 0 1.0006
7 0 0 0 0 0 0 1.0006
8 0 0 0 0 0 0 1.0006
9 0 0 0 0 0 0 1.0006
10 0 0 0 0 0 0 1.0006
11 0 0 0 0 0 0 1.0006
12 0 0 0 0 0 0 1.0006
13 0 0 0 0 0 0 1.0006
14 0 0 0 0 0 0 1.0006
15 0 0 0 0 0 0 1.0006
0 0 0 0 0 0 0 1.00062
1 0 0 0 0 0 0 1.00062
2 0 0 0 0 0 0 1.00062
3 0 0 0 0 0 0 1.00062
4 0 0 0 0 0 0 1.00062
5 0 0 0 0 0 0 1.00062
6 0 0 0 0 0 0 1.00062
7 0 0 0 0 0 0 1.00062
8 0 0 0 0 0 0 1.00062
9 0 0 0 0 0 0 1.00062
10 0 0 0 0 0 0 1.00062
11 0 0 0 0 0 0 1.00062
12 0 0 0 0 0 0 1.00062
13 0 0 0 0 0 0 1.00062
14 0 0 0 0 0 0 1.00062
15 0 0 0 0 0 0 1.00062
0 0 0 0 0 0 0 1.00065
1 0 0 0 0 0 0 1.00065
2 0 0 0 0 0 0 1.00065
3 0 0 0 0 0 0 1.00065
4 0 0 0 0 0 0 1.00065
5 0 0 0 0 0 0 1.00065
6 0 0 0 0 0 0 1.00065
7 0 0 0 0 0 0 1.00065
8 0 0 0 0 0 0 1.00065
9 4432 4432 0 4432 0 4432 1.00065
10 0 0 0 0 0 0 1.00065
11 0 0 0 0 0 0 1.00065
12 0 0 0 0 0 0 1.00065
13 0 0 0 0 0 0 1.00065
14 0 0 0 0 0 0 1.00065
15 0 0 0 0 0 0 1.00065
0 0 0 0 0 0 0 1.00067
1 0 0 0 0 0 0 1.00067
2 0 0 0 0 0 0 1.00067
3 0 0 0 0 0 0 1.00067
4 0 0 0 0 0 0 1.00067
5 0 0 0 0 0 0 1.00067
6 0 0 0 0 0 0 1.00067
7 0 0 0 0 0 0 1.00067
8 0 0 0 0 0 0 1.00067
9 0 0 0 0 0 0 1.00067
10 0 0 0 0 0 0 1.00067
11 0 0 0 0 0 0 1.00067
12 0 0 0 0 0 0 1.00067
13 0 0 0 0 0 0 1.00067
14 0 0 0 0 0 0 1.00067
15 0 0 0 0 0 0 1.00067
0 0 0 0 0 0 0 1.0007
1 0 0 0 0 0 0 1.0007
2 0 0 0 0 0 0 1.0007
3 0 0 0 0 0 0 1.0007
4 0 0 0 0 0 0 1.0007
5 0 0 0 0 0 0 1.0007
6 0 0 0 0 0 0 1.0007
7 0 0 0 0 0 0 1.0007
8 0 0 0 0 0 0 1.0007
9 0 0 0 0 0 0 1.0007
10 0 0 0 0 0 0 1.0007
11 0 0 0 0 0 0 1.0007
12 0 0 0 0 0 0 1.0007
13 0 0 0 0 0 0 1.0007
14 0 0 0 0 0 0 1.0007
15 0 0 0 0 0 0 1.0007
